_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21535;256;Ottenser Marktplatz W Museumstraße;;05.01.2004;POINT (9.933592 53.547836);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21536;257;Klopstockstraße W Kaistraße;;05.01.2004;POINT (9.933562 53.546470);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21537;259;Messeplatz N St. Petersburger Straße;;05.01.2004;POINT (9.976414 53.563027);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21538;260;Eppendorfer Weg SW Falkenried;;05.01.2004;POINT (9.974636 53.582853);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21539;261;Ebertallee S Luruper Chaussee;;05.01.2004;POINT (9.891207 53.572780);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21540;262;Am Barls NW Rapsweg (Landesgrenze);;05.01.2004;POINT (9.849631 53.596867);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21541;263;Stresemannstraße O Tasköprüstraße;;05.01.2004;POINT (9.932549 53.563530);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21542;264;Stresemannstraße / Neuer Pferdemarkt;;16.06.2020;POINT (9.963800 53.558060);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21543;265;Finkenwerder Straße W Dradenauer Deichweg;;05.01.2004;POINT (9.894288 53.516253);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21544;266;Kieler Straße N Langenfelder Straße;;05.01.2004;POINT (9.944138 53.569336);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21545;267;Kieler Straße / Langenfelder Damm;;23.01.2020;POINT (9.933921 53.583313);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21546;268;Holstenstraße / Max-Brauer-Allee;;13.08.2020;POINT (9.949335 53.558652);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21547;269;Schäferkampsallee / Beim Schlump;;20.06.2024;POINT (9.970146 53.567519);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21548;270;Hoheluftchaussee / Gärtnerstraße;;29.10.2020;POINT (9.969588 53.584090);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21549;271;Rugenfeld / Osdorfer Landstraße;;25.08.2020;POINT (9.837147 53.573809);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21550;272;Baumwall W Niederbaumbrücke;;05.01.2004;POINT (9.980856 53.544213);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21551;273;Ludwig-Erhard-Straße W Admiralitätstraße;;05.01.2004;POINT (9.983743 53.548324);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21552;274;Stadthausbrücke N Neuer Wall;;05.01.2004;POINT (9.985926 53.550670);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21553;275;Jungfernstieg NW Neuer Wall;;05.01.2004;POINT (9.992493 53.553304);EPSG:4326
