_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163820;6143;Kupferdamm / Pulverhofsweg;;10.05.2022;POINT (10.124809 53.598471);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163821;6144;Friedrich-Ebert-Damm / Eckerkoppel;;07.06.2017;POINT (10.113385 53.599639);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163822;6145;Bannwarthstraße / Haldesdorfer Straße;;24.10.2019;POINT (10.079513 53.600578);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163823;6146;Gründgensstraße / Gustav-Seitz-Weg;;08.11.2012;POINT (10.061891 53.610741);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163824;6147;Fritz-Flinte-Ring (Ost) / Gründgensstraße;;08.11.2012;POINT (10.052352 53.610097);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163825;6148;Fritz-Flinte-Ring (West) / Gründgensstraße;;08.11.2012;POINT (10.050128 53.610638);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163826;6149;Gropiusring (West) / Gründgensstraße;;08.11.2012;POINT (10.054202 53.609757);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163827;6150;Schreyerring (West) / Gründgensstraße;;08.11.2012;POINT (10.057962 53.610191);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163828;6151;Schreyerring (Ost) / Gründgensstraße;;08.11.2012;POINT (10.059769 53.610535);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163829;6152;Vogtskamp / Alte Landstraße;;28.08.2012;POINT (10.065494 53.643392);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163830;6153;Sengelmannstraße / Alsterdorfer Markt;;24.02.2004;POINT (10.023089 53.611375);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163831;6154;Alte Landstraße (Landesgrenze) / Am Ochsenzoll;;25.10.2012;POINT (10.004429 53.681116);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163832;6155;Hebebrandstraße / Zufahrt Krankenhaus;;06.10.2015;POINT (10.035885 53.608011);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163833;6156;Alsterkrugchaussee / Ein-/Ausfahrt Netto;;13.06.2013;POINT (10.013157 53.627784);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163834;6157;Rübenkamp N Hebebrandstraße;;04.11.2008;POINT (10.033900 53.607786);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163835;6158;Fuhlsbüttler Straße N Nordheimstraße;;04.11.2008;POINT (10.038413 53.608780);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163836;6159;Hindenburgstraße N Sydneystraße;;04.11.2008;POINT (10.012545 53.605344);EPSG:4326
